,text,label,hashtag_cnt
32,MATTRESS HELPER - new again SAGGING #BED #FIRMER #fix #guaranteed #sleepless #needsleep…,7,6.0
33,#ExclusiveBaseballPicks are KILLING the #Bookie like always. #WeeklyRecap 8/8-8/14. 96-3…,19,3.0
34,"My lady love beautiful friend #doubleLtrouble #leilavie #beachour @ Stinson Beach, California",1,3.0
35,️ #gramma @ Living Way Christian Fellowship,0,1.0
36,Acquired this stunner today at my new favorite spot Sharks Tooth #crassula.…,1,1.0
37,Birthday cheers with my favorite people!!#26again #justafewofmygirls #justafewofmygirls…,14,3.0
38,Taking bae to all my favorite #LA spots. #gettycenter @ Getty Center,8,2.0
39,"So much fun this weekend celebrating the bride to be. #MalliesLastRally @ Las Vegas, Nevada",3,1.0
40,So cute!! #KnottsBerryFarm #Charlie #Snoopy #Woodstock @ Knott's Berry Farm,1,4.0
41,No I don't have any carrots!! #seattlepoloclub #horse #horses @ Seattle Polo & Equestrian Club,2,3.0
42,My favourite place in California #YosemiteNationalPark #California @ Yosemite Wilderness,1,2.0
43,#sundayfunday #live at allure... @user @user @user,6,2.0
44,"My babies ️ ️ ️ #cat #dog #catsofinstagram #dogsofinstagram #lovemyfurbabies @ Port Hueneme,…",0,5.0
45,Photo taken Thursday at SDCC2016 by MannyLLanura Photography. #widowmaker #overwatch…,10,2.0
46,"Hello there, my king Jareth #bowie #goblinking #labyrinth @ Los Angeles, California",0,3.0
47,Sunday views #hike #waterfall #waterfallhike #latourellfalls #hikeoregon #hikepnw #whyihike…,12,7.0
48,Caught by the lens of Yc Wong. photo by 8888tiger8888 suit by virginblak #ljifff…,18,1.0
49,Weldone champ #babrain #alikhamis #rio #rio2016 #olympics @ Los…,7,5.0
50,Took a lil trip to Tahoe #iputhehoeintahoe @ Incline Village At…,8,1.0
51,About to hang out with a bunch of #Armenians and #Russians...trying to fit in Sporting my…,19,2.0
52,@user catchin a lil sun ️#goldenbaby_franki #myminime #summertime…,12,3.0
53,Dayum it's hot out here #vegasbaby #turnuptheheat #vegasshows #projectshows #libertyfairs…,4,5.0
54,Photoshooting with the babe @user #sundayfunday @ Downtown Container Park,18,1.0
55,#daddyslilmonster @ Hot Topic Stonewood,0,1.0
56,Get. In. My. Closet. #shoesaddict #shopaholic #musthave @user @ Topshop,1,3.0
57,"Ode to the greatest, @user #dontknowwhy #cover #covers #singer #songwriter #jazz…",7,6.0
58,Album is dropping soon. #AllSummer16 @ Oceanside Beach and Harbor,6,1.0
59,Round 5 of Happy Hour and all is well. #weekendsinwesthollywood…,14,1.0
60,"Dirty mirror or not, a #Selfie is a must #FitDad #Fitness #LifeStyle #Gym #GymSwag @ EOS Fitness",19,6.0
61,"Everybody Need To Rest, Even Superman #Superman @ West Hollywood, California",2,1.0
62,We had a lot of office volunteers for this event nicole.m.pawlak #teamwass #extramileca @user,18,2.0
63,Set a 'New Week' Intention; Clarity. #latergram: I spent the afternoon with one of my…,7,1.0
64,We be touristy in the #sisco... bossman @ Palace of Fine Arts,18,1.0
65,Dodger game w my fav pup #whereisjuanito,8,1.0
66,"Day job #FilmComposer amandacomander @ Los Angeles, California",18,1.0
67,Actors acting for new Scripts ️ #creative #be #do #love #mediainc #playground #storyplayground…,0,7.0
68,"Peep The Tee...@jheneaiko To All The Negative Comments....#mood @ Los Angeles, California",6,1.0
69,"Magical #princess #celticprincess #bamboo #nature @ Warren, Oregon",7,4.0
70,May the road rise up to meet you #goldenhour #californiadreaming #summersweet16 #running…,7,4.0
71,"Having a case of laziness. #Sundays #Venice ️ @ Venice, California",0,2.0
72,Desert Table #juanandlars2016 ️ @ Holiday Inn Long Beach Airport Hotel and Conference Center,0,1.0
73,In Las Vegas with my ️ @user ️#sashasherman #tohaandreev #lilfam #lilfamcrew…,0,4.0
74,"never again will I volunteer to work eight days in a row ️ #pb #sunset #summer @ Pacific Beach,…",12,3.0
75,"Celebration #2! ️ (@ Mastro's Steakhouse - @user in Beverly Hills, CA)",0,1.0
76,On site Tandoor Oven for catering events #tandoorichicken #tandooroven #clayoven #spices…,6,4.0
77,My comedy warrior boo @user ️ ️ ️@flapperscomedy #burbankcomedyfestival…,0,1.0
78,Found my beach over the weekend #lakechelan #summer #pnw #corona @ Lake Chelan,8,4.0
79,FUTURE NOW TOUR #SoyLaMasFeliz #porfin #NickChiquitoMiAmorJonas…,7,3.0
80,After dinner ice cream at the lake with these two knuckleheads! #jakob #isabel #siblings @user,1,3.0
81,Love is a chunk of meat in my face ️ ️ #eatwithyourhands #handsonfood #bananaleaves…,0,3.0
82,#ExtraordinaryDesserts I ForGot The Name Of This Dessert @ Extraordinary Desserts,16,1.0
83,My favorite #PineappleExpress EVER... cc: @user amycrasian linseybrownakalins #Damn…,2,2.0
84,Today's cook up w/ @user #NewMusic #Trap #ClubBanger #Club #TurnUp #Producer @user,4,6.0
85,I found my house in #SantaMonica #dapinkhousetho (domdez house is…,3,2.0
86,Sunsets with my love! Lovin' the family time today! ️ ️ ️ #missionbeach #missionbeachsandiego…,0,2.0
87,Life's a climb so thought I'd pick up a new hobby ️ #toprope #climb #girlsdayout…,0,3.0
88,Thank y'all for interviewing me #LetsTalkAboutIt you guys are hilarious and nice meeting you…,19,1.0
89,"Lit #AF #Seattle @ Seattle, Washington",4,2.0
90,I DIDNT REALIZE YOU CAN HEAR ME SINGING #summercrush @ L.A. LIVE,2,1.0
91,EWWWW WHY!!?! #summercrush @ L.A. LIVE,2,1.0
92,ㅡ When you are on the #happiestplaceonearth with your #bestfriends for your #birthday... ️…,0,3.0
93,Great film screenings @user still going strong! #hsff16 ️ @ TCL Chinese Theatres,0,1.0
94,Just got to the office #determined #iwantthatsixpack #noexcuses…,14,3.0
95,A little clip on my featured group from today's WERKshop. #beautiful #dancelife…,14,2.0
96,Always a pleasure #wearekithandkin #floodchurch @ Flood Church - San Diego,7,2.0
97,"""To love and be loved is to feel the sun from both sides"" -David Viscott #boyfriend #weekend…",3,2.0
98,Bomb dust Fries. #fire @ Belly BombZ,4,1.0
99,Summer pastime: swimming in yarn #fashiondesign #create #capsulecollection #productdevelopment…,1,4.0
100,I hate you a lot ️ #hbdmeggypooky @ Woodbridge Greens Club House,0,1.0
101,That smile @user #FutureNowTour @ Sleep Train Amphitheatre,1,1.0
102,"My show right now on Netflix#lit #laesclavablanca @ Santa Ana, California",4,2.0
103,Congrats to our new Audi owners! You think a car is a good wedding present? #deals…,16,1.0
104,Cuz who says #Sunday gotta be boring? #Trunks#WestHollywood#WeHo @ Trunks,14,4.0
105,"ITS #leoseason #happybirthday to ME! Two more hours! @ Los Angeles, California",4,2.0
106,I'll never get tired of flowers on date night. Thank you dolbus_maximus #datenight…,13,1.0
107,Hoping it won't rain indoors #LasVegas #USA @ The Venetian Las Vegas,11,2.0
108,️ #toocute #catsofinstagram #sorrynotsorry #loveshim #sabastian @ Happy Happy Hendricks,0,5.0
109,Last day of Morphicon was mostly a good time. At least I scored the exclusive #powerrangers…,6,1.0
110,"By 8pm, Snoppy in his pj came to tuck the kids to bed. #KnottsBerryHotel #MarkAndrew…",1,2.0
111,"Shorty, I Don't Mind... #sundaystyle #Instacy #sassystacy…",2,3.0
112,Couldn't tell you but I do know @user has a PhD in Savagery #23 @ The Cosmopolitan of…,15,1.0
113,"Drivers, Irons and Moscow Mule. #isuck @ Top Golf Las Vegas",2,1.0
114,"Goodbye, Napa Valley #napavalley #sterling #spampamore @ Sterling Vineyards",8,3.0
115,Just came home and am a stuffed butt. #Butterball @ Ruth's Chris…,2,1.0
116,This #view #sunset #summer #beautiful #desertlife #mylasvegaslife #lasvegas #vegas #love #sky…,1,10.0
117,Vegas baby #lasvegas #nevada #usa #parislasvegas #eiffeltower #night #lights #holidays @ Las…,7,8.0
118,Officially in love with the brunette man #lipssd @ Lips - San Diego,1,1.0
119,Glad I got to be trey songz's prom date #poppin @ Wolf Lake Park At…,7,1.0
120,#puroparty with this girl! Bahaha! Just found video on my phone. Guess #brookelynnpayan was…,2,2.0
121,Family is everything ️ #conejovalleydays #portapottyraces #wewin…,0,3.0
122,When that cute boy walks by.... #woof! #adoptdontshop @ The Dog Bakery,3,2.0
123,@user YOU BELONG Gilroy ️ @user #euforayoubelong #euforastyle #euforastrong…,0,3.0
124,#GrandCanyon #amazing #eaglepoint @ Grand Canyon West,1,3.0
125,Had a great time yesterday nerding out with @user at the #portlandrailgeritagecenter We…,6,1.0
126,Hi Kobe Bryant! #LA #Lakers @ Staples Center,6,2.0
127,"Just a gratuitous selfie. Happy Sunday! #sundayfunday @ Pasadena, California",5,1.0
128,For a cure #type1diabetes @ The Beverly Hilton,8,1.0
129,"Last half price Frap #extendfrappucinohappyhour #frappucinohappyhour (@ Starbucks in Burlingame, CA)",2,2.0
130,Another one by the talented thrulaurenslens #sky #rocks #backbends #photography #photographer…,18,5.0
131,Yoga practice for our Sunday ️ #sirsasana #yogawithmyyogi #iloveyoga #yoga #yogalove…,0,5.0
132,What a day #calilife #lakeday @ Modesto Reservior,6,2.0
133,A Royal Tribute To Our a Purple One... #Resident #Prince#Tribute #Honour…,13,4.0
134,Holy ground #starwars #sanfrancisco @ Lucasfilm Ltd,7,2.0
135,Friday Night with friends #losreyes #cantina #friendsnightout #YOLO yilustre @ Reyes Cantina…,5,4.0
136,Thank you to everyone who joined us from near and far for our Patina Farm event #patinafarm…,9,1.0
137,The best things in life are hidden in the shadows. #BestCaptionEver #IfYouSeeIt @ Kings Beach…,14,2.0
138,Good one! Haha #cga #californiasgreatamerica #santaclara…,2,3.0
139,"#loves balls jayden year nine months ️ @ Costa Mesa, California",0,1.0
140,The Jones brothers enjoying them a tasty beer while in port. #jonesbrothers @user,19,1.0
141,And that's a wrap on our little family shoot with arreguinphotography #sundayfunday @ Walt…,8,1.0
142,Not quite the World Cup but it sure felt good to win #champs #soccerlife #ontothenextone…,2,3.0
143,Marry someone who'll write a letter for you in calligraphy. #vscocam #travel @ Castle in the Air,3,2.0
144,non-planned twinning w the legend #vansfam #killintheretailgame @ Cabazon Outlets,6,2.0
145,Ready for some CIVIL WAR!! #marvel #teamcap #captainamericacivilwar #captainamericavsironman @user,11,4.0
146,it's a blue kind of a day #dodgers #losangeles #la #blue @user,8,4.0
147,California Dreaming #hermosabeach #cali #californialove #pier #beautifuldaytoday…,15,5.0
148,Pit stop at @user before hitting the next spot! #SimiValley @user @ Skatelab,18,1.0
149,Part 2 Progress - Oil Paint & Pen Sketch On Vintage Denim - ALMOST DONE! ️ #deop #Oil…,0,2.0
150,It felt secure to run with them #baytobreakers2016 @ Marriott Courtyard Downtown San Francisco,2,1.0
151,Happy #NationalChocolateChipDay! Did you know we have #ChocolateChip #ButterCookies? …,5,3.0
152,Baedesza dropping that @user remix @user #odesza @ San Jose State University,5,1.0
153,Playing Exploding Kittens #seaymego #Seattle #ferry #cardgames #explodingkittens @user,2,5.0
154,Snapping some cosplay pics. #cosplay #twinpeaks @ Griffith Park,10,2.0
155,Another great time last night with lovelyali Thank you #theformationworldtour #beyonce @user,5,2.0
156,Thank you malibutimes for the article on the malibucookstour and capturing this photo ️ #Malibu…,12,1.0
157,Too $kippalicious. #SoFierce bringing that #FirePower once again…,4,2.0
158,Lovelies.... my #flexandflowtribe #flexandflow #sweatpink #flexandflowyoga…,13,4.0
159,Back in Shasta till Tuesday morning. Gonna try to go to Whiskeytown tomorrow #drive…,5,1.0
160,When you're moving and you use your old apartment as a rehearsal space #noac #indianstyle…,4,2.0
161,Falling in ️ with #Vegas.. Last day in the @user #tropicbeauty @user #poolparty…,0,3.0
162,Still the best group of people I know ️ ASB 2010-2011 #leadership #UNI #losangeles #highschool…,0,4.0
163,"Evening light #NoeValley @ San Francisco, California",7,1.0
164,My best friend #sjsharks #StanleyCupPlayoffs @ SAP Center,8,2.0
165,"And, of course, the lucky nerd who got her. •#HartsStormPNW #wifey #MississippiAve #Portland…",14,4.0
166,So much love for sofarsounds & sofarsoundsla! Great times this eve #sofarla #actasif @ The…,4,2.0
167,I got a cone and this what sigbodo got #3Scoops #ButSheDidntWantDinner #GirlsLoveIceCream…,2,3.0
168,Here's one with sound #lyricswithmeaning @user @ 25th Street Recording,16,1.0
169,Always enjoy our little dates #lunch #cutie #date #beefstew #noodles #itsbeenawhile #chinatown…,5,7.0
170,The photo bombers say it all! Hilarious! #beautydiversity #lymphie #extremeweightlossdiva…,2,3.0
171,Pikes PD with my favorite babes #wheresjuan @ Hard Rock Lake Tahoe,3,1.0
172,#WeddingFlower #LOVE from last night created by @user janaemaue chrismaue ||…,3,2.0
173,Went to Golden Corral today for the first time. I LOVE it! #GoldenCorral #Buffet #Bellflower #Yum #Dinner #Family,16,6.0
174,"Found 250 of these pretty steps in #silverlake today. It's been fun, LA. ️ @ Micheltorena Steps",0,1.0
175,once upon a time i used to be a fashion blogger.. and then i got lazy. : chris ruiz #dtla…,10,1.0
176,Camp Ethan. #johnphotography #campethan #birthdayparty #leicaq #lancestraps #leica @ West…,18,6.0
177,#vegas #throwback wish I had a better quality 1! @ Palms Place Luxury Suite Rentals,19,2.0
178,"When you ask Peter Pan to squad up but he says, ""no! point up!"" #PeterPan #CaptainHook…",2,2.0
179,"grounding. negative ions. and vitamin d #atthebeach @ Santa Monica, California",7,1.0
180,#X16 with babe @ Harder Stadium,3,1.0
181,️ Thanks for the memories #Malibu #movingday @ Maibu California,0,2.0
182,"Whaaaaat, Renados makes Micheladas! #bomb @ Renato King of The Pizza",1,1.0
183,I wanna dance with you #X16 #UCSB @ Harder Stadium,3,2.0
184,Venice Beach part 2 #LosAngeles #USA #adventure2016 @ Venice…,11,3.0
185,"Minnie ️ #littlesister #minniemouse #backpack @ Redlands, California",0,3.0
186,It's a spaceship... it's been to space and back #LosAngeles #USA…,11,2.0
187,I'm so inlove with him. I'm so glad he came on this vacation with mee #lovehim #vegas…,9,2.0
188,Someone had fun today #pool #poolday #spring #vegas #toddler #relaxing #girlsday #daughter…,6,8.0
189,"Always a great day seeing these lovely faces #villagebooks #vbbookies #bookclub @ Malibu,…",1,3.0
190,Dinner tonight with @user was !! #datenight #pokirrito #iceskimo #convoystreet…,15,4.0
191,The perfect bite. #foodporn #llblognotaconf #heat #yum #maincourse @ Beach House at Lovers Point,1,5.0
192,#coachella @ Coachella Valley Music & Arts Festival,1,1.0
193,"""Kissed By The Sun""- created by Baby Jesus #Married10Years…",7,1.0
194,Katelyn and Dan's #wedding ️#sandiego #needtoreapplylipstick #ilovedanstrauss #letsdance @ THE…,0,5.0
195,"My granddaughter, Daisha . #granddaughter #grandbaby #7years #ilovethisgirl…",13,4.0
196,Fun day of skating. Front nosegrind. Thanks for the photo svrbtz #skateboarding @user,10,1.0
197,Celebrating Sammie Sunday in our Pasadena scoop shop! : simoneberes #GramYourSam #Coolhaus…,18,2.0
198,Bigger Picture... I'm happy x @user #photooftheday #Ootd #DailyStreetLooks #TheSkinnys…,18,4.0
199,"Monkey Face rock ️ #hometown #beautiful #ChicoCA #monkeyfacerock #love @ Monkey Face, Upper…",0,5.0
200,"It never gets old, this ocean #beautifuldestinations #exploring #seetheworld #marin #visitmarin…",7,5.0
201,My Doisneau moment #everydayeverywhere #millvalley #candid #candidmoment #streetphotography @user,19,5.0
202,Mi first time there... Quiero volverrrrrrrrr #Papas&Beer #Rosarito…,1,2.0
203,Last Soundsational photo for tonight #disneyland #mickeyssoundsationalparade #tangled…,7,3.0
204,I'm addicted to ittt #aftersicecream#loveit#Irvine#Cali @ Afters Ice Cream,1,4.0
205,#express your #love @ Culina at Four Seasons Hotel Beverly Hills,7,2.0
206,HBO in Joah BrownWe ️ John Snow#gameofthrones @ Abbott Kinney- Venice Beach,0,1.0
207,Great night last night with family #latepost #goodtimes #memories…,0,3.0
208,Sacramento was thank you 1025ksfm for having us back. #102live @user @user @user @user,4,1.0
209,Retweet if you want @user to #GetOnShimmur,7,1.0
210,"Couldn't ask for a better fishing partner #bestfriend travisbarden @ St Joe River, Avery",5,1.0
211,"@user Really don't need Intel, it's too obvious. They're smitten with each other. That's AMORE #ALDUB10thMonthsary",1,1.0
212,#kuwtk @ Hide Away Cabin,2,1.0
213,Since I get to see him in a few days.... #flashback to when we saw the weeknd in Vegas @ MGM…,1,1.0
214,"My grandson, Drescen. . Little lefty! #grandson #19months #grandbabylove #boys…",8,4.0
215,@user & dirtmcgirt_tb first look! #meetthebaksas @user,5,1.0
216,So thankful for our beautiful moms #momsday @ Duke's Malibu,3,1.0
217,"""between sea and sky..."" ️ #paradisepier #disneyland #sundays @user",0,3.0
218,Found a bandit. ️ ️ ️#raccoon #graffiti #graffitiart #marinheadlands #spectacularskies…,0,5.0
219,#celebration of #success with #love after my #nlptraining #marlynmonroe @user Make it…,7,5.0
220,Fan-girling pt. 2 with @user #SOfluid sounds :') #westcoastweekender,0,2.0
221,These boys ️ #watchingit #scarymovie #stephenking #fuckingscary…,0,4.0
222,"Day Two: ""The Grid"" #staytuned @ Koreatown, Los Angeles",6,1.0
223,Another successful day of tomfoolery with some of woes | : @user | #b2b #itsjustdifferent…,18,2.0
224,Beautiful view with beautiful people ️ #highrollervegas #vegasnights @ High Roller Vegas,0,2.0
225,Bottom lashes are life! ️ #bottomlashes #makeup #makeupartist #mua #sdmakeupartist…,0,5.0
226,Phase 2 of the #redkenhaircolorauthority in Pleasanton!! ️ Official graduation tomorrow for…,0,1.0
227,Good friends and good times at @user #twangsunday ️ ️ #musicianslife #tourkickoff @user,0,3.0
228,"Had an amazing time at their wedding #legarcias #woodwedding #love @ Woodland, Washington",8,3.0
229,Our Criollo Old Fashioned. The best in town #burbank #northhollywood #studiocity #valleyvillage…,14,4.0
230,|| sad i couldn't be at Disneyland today ... #HappyBirthdayDisneyland @ Disneyland,8,1.0
231,This guy in #TroopBeverlyHillsUnauthorized though @user @ Rockwell Table & Stage,4,1.0
232,I Love La ️ #bluesky @ Malibu Beach,0,1.0
233,"Another beachday sunday #surfingmama #mybaby ️ #moderndaybradybunch @ Sunset Beach, California",0,3.0
234,Friends who #workout together stay together #sundayfunday #pdx #portland(@ Müv Training),9,4.0
235,Thank you #WanderlustFestival We found our True North Until next year. #IAmYoga #Wanderlust…,8,3.0
236,Drumming up courage to go into the freezing water #northwestisbest #summer #pnw #hoodcanal @user,6,4.0
237,"We went off the beaten path of house hunting...#selfie #trails #tboz #dwe #tlc @ Bell Canyon,…",2,5.0
238,Be sure you get your 5 servings of fruits a day! #raspberriesrock #brothers ️ #ilovetheseboys @user,0,3.0
239,"#Vanilla #Meringues #FatFree @ Paso Robles, California",14,3.0
240,#malemodel #chase olswang during a #photoshoot with @user #pattymo #pmp…,10,5.0
241,Such beauty brings the nature #MtRainier #Seattle #vacation #hiking #picoftheday @ Mount…,1,5.0
242,"Strawberry Smoothie was a hit. #seaworld @ SeaWorld of San Diego, California.",5,1.0
243,We are Infinite Light #infinite #light #chamber #infinity #mirror #mirrorgram #infinitymirror…,13,7.0
244,Twinning with my a1 sauce! #bbw #instagramers…,15,2.0
245,This handsome guy #aplacetolovedogs #barkbox #darlingweekend #dogsofinstagram #hhjasper…,1,5.0
246,"#sundayfunday #sunday #bdayweekend #ootd @ West Hollywood, California",9,4.0
247,#SUNDAYFUNDAY My cousin is flyer than yours!! @ Burger Bench,1,1.0
248,#everybodyin #hoodcanal #pnw #summer #northwestisbest #myown @ Hood Canal,6,6.0
249,Man in the Mirror #sunday #reflection #mirror #life #universe #journey #destiny #multiverse # ️…,0,9.0
250,All green everything! #sixflags #summer #blaséontheoutsideblessedontheinside partygirlvampire…,18,3.0
251,Getting my #niecelove! #aureliapearl #caedancetyler heartshark_ @ The Becerras,1,3.0
252,#factsonly @ Paisley Park,15,1.0
253,#usa #LA #california #tanning @ City Of West Hollywood,11,4.0
254,Fun shoot yesterday with reallysortofamazing #downtownla #rooftops @ Downtown Los Angeles,10,2.0
255,Shake Shake...some old school @user #bestconcertever #Pitbull @ Sleep Train Amphitheatre,1,2.0
256,"my heart fell into my stomach ️ #tattoo by @user @ Los Angeles, California",0,1.0
257,Sent them to #campcolman today. Best of luck to the counselors. #ymcacamp #campcolman @ Tyee…,14,3.0
258,#soakbeachbash here @user with me @user #thank you all for coming out @ Agua…,9,2.0
259,"Mac and Me #80skid @ Palm Springs, California",2,1.0
260,#sunday snuggles #batpig #frenchie #frenchiesofinstagram #squishyfacecrew #dogdad #dog…,1,7.0
261,#BuiltByJimmy ATHLETE training sessions today at Kezar Stadium :) Let's GOOO!!! Online…,4,1.0
262,Always an intense climb; never not worth it. : @user #pnw #exploregon #upperleftusa…,10,3.0
263,"This one came to visit #sanfrancisco @ SF Bay, Golden Gate Bridge",11,1.0
264,These two...the bride and her mother. Completely gorgeous #PAGEBeauty team: @user,7,1.0
265,Today's happy place #sonoma #sonomacounty #mywherever #exploring #seetheworld…,5,5.0
266,Summertime#rural #rurallife #ruralamerica #nevada #lund #basinandrange #basin&range #usa #usa …,11,9.0
267,All of my favorite things in one day! #Starbucks #Starbs #Coffee #Kawfee #KawfeedMeMore #Trenta…,16,6.0
268,Sunday vibz. ...antisocialsocialclub #keltecksg12g #glock19 @ Jackson Arms Shooting Range,11,2.0
269,The ending is literally the best part #kahaiajustine babyrowena beach day! @ Scripps Pier,2,1.0
270,"Lions (not pictured) and tigers and bears, oh my! Spent the day at the #zoo with @user …",5,1.0
271,Sunday Funday at boilingcrab ️ We love it here! ️ #nofilter theboilingcrab #boilingcrab…,0,2.0
272,Another redwood forest to add to the list #sonoma #sonomacounty #redwoods…,19,3.0
273,Quality time with bessie #mrmrscbyahe @ Domaine Carneros Winery,5,1.0
274,".bluebottle bluebottle_sf great, smooth cup of #joe #coffee #coffeelover #sanfrancisco #usa @user",11,5.0
275,US loses 3-2. #daviscup #teamusa @ Davis cup,11,2.0
276,"I need to get out of the sun too much tan lol. #beachday @ Newport Beach, California",6,1.0
277,#beachcruiser @ Mile Square Regional Park,6,1.0
278,#Bonecrushers Day 17 of the 22 day push-up challenge completed.22…,11,1.0
279,"What a beautiful #evo #mitsubishi #evox #evomr #evogsr @ Los Angeles, California",1,5.0
280,This is what my night looks like #flightattendantlife #savignonblanc #pureclass…,5,3.0
281,I just couldn't handle it #watchoutthewindmightchange #sundaycompany : @user @ The…,18,2.0
282,#littlebeachhousemalibu # ️la @ Little Beach House Malibu,0,2.0
283,when your neighborhood stroll ends up at @user this... . #cafésociety #woodyallen…,1,2.0
284,wave hugger. : jhphotos12 #coronado #california #westcoast #mermaid #ocean #beach #salty…,10,7.0
285,"""To all who come to this happy place, welcome. Disneyland is your land ️"" ---#waltdisney…",0,1.0
286,#ShowingLove - #Sunday Out with family here on the coastline ran into @user that beast on the…,15,2.0
287,Our #fave #favourite #pic from this #trip #lasvegas #vegas #vacay #vacaymode #vacation…,9,9.0
288,Can you say #SundayFunday?! I'm still flying high from our @user Power Partner workout…,1,1.0
289,Find your #purpose - your #cosmic #power #within ... #youareastar #shine @ Be-Live in U,7,6.0
290,One very happy boy. #bigtrucks #rayceeverett mekael83 @ The Becerras,8,2.0
291,#BigBearLake #MotherNature #Blessed #ItsTheSimpleThings @ Big Bear Lake,5,4.0
292,Treat yourself #StarSearching #ImSimplyD @ The Ivy,0,2.0
293,Dr J & I feelin' supafly #BestOf2016 #CAStateFair @ California State Fair,6,2.0
294,"Photo-op with these two amazing people #whyyoualwayshatin @ Los Angeles, California",9,1.0
295,All day beach days are so fun and exhausting at the same time! #beachlife…,14,1.0
296,Some days are better than others #FamilyFirst #Blessed @user @ Providence Park,10,2.0
297,Our #fave #favourite #pic from this #trip #lasvegas #vegas #vacay #vacaymode #vacation…,9,9.0
298,And hanging out with one of the most beautiful people I know ️ #BFF #LosAngeles #DTLA…,0,3.0
299,#ThankYouForYourService! #BlueLivesMatter @ California State Fair,8,2.0
300,"7•17•16 #LagunaBeach @ Laguna Beach, California",8,1.0
301,Happy #nationalicecreamday @ Sweet Rose Creamery Beverly,5,1.0
302,Almost there... Just two more spoons!! #travelismypassion…,5,1.0
303,L ️VE is the packing house! #anaheim #anaheimpackingdistrict #packing #socal #southern…,0,5.0
304,#BeachDay w/ the fam @ Venice Beach,9,1.0
305,Bird eye view of the San Mateo Bridge #instatravel #birdeyeview #viewfromabove #bridge…,6,4.0
306,Summertime and the livings easy deets_nobites althea_pourhousevape davidsalamin #summer #love…,1,2.0
307,Swirl ice cream from the Hasty Freez in Albany! I love this town ️ #icecream…,0,1.0
308,Such a babe #tumalofallls #pnw #neverstopexploring #exploreoregon…,1,4.0
309,"Much love, lady. MT @user Off home! TY #NHS 4 all your amazing care frm Drs, anesthetists, nurses, HCAs ️",0,1.0
310,"Somewhere it’s always summer. ️ Palm Springs, 2015.#acehotelandswimclub #palmsprings…",12,2.0
311,It was all about Street Art today in SF #StreetArt #SanFrancisco #California #Carlifornie…,9,4.0
312,She thought I was just getting some nice pics but.. #PokemonGo #TeamValor #nerds #asian @user,2,4.0
